File,Ratio_121/211_vs_020/200
10_25_07_0mM_baseline_Sb2S3.xy,0.38646
3_14_07_OTA_1.xy,0.42429
6_ref_substrate__14.07_CdFTO.xy,0.90966
6_ref_substrate__14.07_CdFTO.xy,0.90966
3_14_07_OTA_1.xy,0.42429
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42429
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.42428
3_14_07_OTA_1.xy,0.41251
3_14_07_OTA_1.xy,0.40454
3_14_07_OTA_1.xy,0.41848
3_14_07_OTA_1.xy,0.41462
3_14_07_OTA_1.xy,0.41251
3_14_07_OTA_1.xy,0.38631
3_14_07_OTA_1.xy,0.40150
3_14_07_OTA_1.xy,0.41283
3_14_07_OTA_1.xy,0.41251
3_14_07_OTA_1.xy,0.41055
3_14_07_OTA_1.xy,0.41055
